Number,Name,Investment company,Date,File path,Recommend
6196,帆宣,統一投顧,2018_03_01,/home/cosbi/桌面/financialData/gmailData/data/6196/6196_帆宣_2018-03-01_統一投顧_統一投顧-鄭高輯-【投資速報】帆宣(6196.TT，買進) 受惠OLED及EUV關鍵設備成長大趨勢，在手訂單創新高.pdf,NULL
3264,欣銓,國票,2018_03_31,/home/cosbi/桌面/financialData/gmailData/data/3264/3264_欣銓_2018-03-31_國票_3264欣銓03312018.pdf,NULL
4180,安成藥,統一投顧,2018_04_11,/home/cosbi/桌面/financialData/gmailData/data/4180/4180_安成藥_2018-04-11_統一投顧_統一投顧-張立群-【投資速報】安成藥 (4180.TT，買進) 獲利蓄勢待發，累積小勝成大勝.pdf,NULL
8406,金可-KY,國票,2018_04_10,/home/cosbi/桌面/financialData/gmailData/data/8406/8406_金可-KY_2018-04-10_國票_8406金可-KY04102018.pdf,NULL
2383,台光電,統一投顧,2018_03_23,/home/cosbi/桌面/financialData/gmailData/data/2383/2383_台光電_2018-03-23_統一投顧_統一投顧-廖婉婷-【投資速報】台光電 (2383.TT，中立) 手機成長停滯，2018年獲利恐呈現衰退.pdf,NULL
3090,日電貿,統一投顧,2018_03_22,/home/cosbi/桌面/financialData/gmailData/data/3090/3090_日電貿_2018-03-22_統一投顧_統一投顧-蔡濰年-【初次報告】日電貿(3090.TT，買進) 4Q17財報優於預期，18年獲利大躍進.pdf,NULL
8415,大國鋼,國票,2018_03_14,/home/cosbi/桌面/financialData/gmailData/data/8415/8415_大國鋼_2018-03-14_國票_8415大國鋼03142018.pdf,NULL
2327,國巨,國票,2018_03_09,/home/cosbi/桌面/financialData/gmailData/data/2327/2327_國巨_2018-03-09_國票_2327國巨03092018.pdf,NULL
3526,凡甲,統一投顧,2018_03_06,/home/cosbi/桌面/financialData/gmailData/data/3526/3526_凡甲_2018-03-06_統一投顧_統一投顧-吳大任-【投資速報】凡甲 (3526.TT，買進) 新能源車客戶出貨狀況佳，帶動18年獲利提升.pdf,NULL
6282,康舒,統一投顧,2018_03_08,/home/cosbi/桌面/financialData/gmailData/data/6282/6282_康舒_2018-03-08_統一投顧_統一投顧-林璝志-【投資速報】康舒 (6282.TT，中立) 4Q17財報不如預期，1H18營運仍低迷.pdf,NULL
2809,京城銀,統一投顧,2018_03_08,/home/cosbi/桌面/financialData/gmailData/data/2809/2809_京城銀_2018-03-08_統一投顧_統一投顧-陳晏平-【投資速報】京城銀 (2809.TT，中立) 現金股利仍將維持1.5元、18年獲利衰退機率大.pdf,NULL
2454,聯發科,國票,2018_03_26,/home/cosbi/桌面/financialData/gmailData/data/2454/2454_聯發科_2018-03-26_國票_2454聯發科03262018.pdf,NULL
1905,華紙,統一投顧,2018_03_29,/home/cosbi/桌面/financialData/gmailData/data/1905/1905_華紙_2018-03-29_統一投顧_統一投顧-蔡爵丞-【投資速報】華紙 (1905.TT，中立) 稅率提升抵銷紙漿上漲效益，2018年獲利成長趨緩.pdf,NULL
6279,胡連,統一投顧,2018_03_01,/home/cosbi/桌面/financialData/gmailData/data/6279/6279_胡連_2018-03-01_統一投顧_統一投顧-張均壕-【投資速報】胡連 (6279.TT，中立) 銅價維持高檔，毛利率仍受壓，今年展望平淡.pdf,NULL
8349,恒耀,國票,2018_04_03,/home/cosbi/桌面/financialData/gmailData/data/8349/8349_恒耀_2018-04-03_國票_8349恒耀04032018.pdf,NULL
2221,大甲,國票,2018_03_30,/home/cosbi/桌面/financialData/gmailData/data/2221/2221_大甲_2018-03-30_國票_2221大甲20180329.pdf,NULL
1476,儒鴻,統一投顧,2018_03_14,/home/cosbi/桌面/financialData/gmailData/data/1476/1476_儒鴻_2018-03-14_統一投顧_統一投顧-蔡爵丞-【投資速報】儒鴻 (1476.TT，買進) 營收勁揚2成，營運落底回升，2018年展望樂觀.pdf,NULL
2888,新光金,統一投顧,2018_03_30,/home/cosbi/桌面/financialData/gmailData/data/2888/2888_新光金_2018-03-30_統一投顧_統一投顧-陳晏平-【投資速報】新光金 (2888.TT，中立) 股價已反應獲利轉機、後續有增資不確定性.pdf,NULL
2049,上銀,統一投顧,2018_03_27,/home/cosbi/桌面/financialData/gmailData/data/2049/2049_上銀_2018-03-27_統一投顧_統一投顧-王寧毅-【投資速報】上銀 (2049.TT，買進) 4Q17財報大幅優於預期，2018年營運續創新高可期.pdf,NULL
