ID,stockNum,stockName,date,filename,inputTime,username
156,5305,敦南,2018_06_18,5305_敦南_2018-06-18_下午12:52:03.txt,下午12:52:03,c21221203
157,1476,儒鴻,2018_06_18,1476_儒鴻_2018-06-18_下午12:52:48.txt,下午12:52:48,c21221203
158,1476,儒鴻,2018_06_18,1476_儒鴻_2018-06-18_下午12:53:05.txt,下午12:53:05,c21221203
159,8255,朋程,2018_06_18,8255_朋程_2018-06-18_下午12:53:57.txt,下午12:53:57,c21221203
160,5609,中菲行,2018_06_20,5609_中菲行_2018-06-20_4:48:04_PM.txt,4:48:04_PM,popowing
161,2456,奇力新,2018_06_20,2456_奇力新_2018-06-20_8:27:04_PM.txt,8:27:04_PM,popowing
162,4563,百德,2018_06_20,4563_百德_2018-06-20_9:48:47_PM.txt,9:48:47_PM,popowing
163,6230,超眾,2018_06_26,6230_超眾_2018-06-26_9:42:26_PM.txt,9:42:26_PM,popowing
164,8074,鉅橡,2018_06_27,8074_鉅橡_2018-06-27_上午1:18:44.txt,上午1:18:44,c21221203
165,1319,東陽,2018_06_27,1319_東陽_2018-06-27_上午1:18:59.txt,上午1:18:59,c21221203
166,1582,信錦,2018_06_27,1582_信錦_2018-06-27_上午1:19:16.txt,上午1:19:16,c21221203
167,9914,美利達,2018_06_27,9914_美利達_2018-06-27_上午1:19:32.txt,上午1:19:32,c21221203
168,1312,國喬,2018_06_27,1312_國喬_2018-06-27_上午1:19:46.txt,上午1:19:46,c21221203
169,6573,虹揚-KY,2018_06_27,6573_虹揚-KY_2018-06-27_上午1:20:21.txt,上午1:20:21,c21221203
170,4563,百德,2018_06_27,4563_百德_2018-06-27_上午1:20:38.txt,上午1:20:38,c21221203
171,8415,大國鋼,2018_06_27,8415_大國鋼_2018-06-27_上午1:20:52.txt,上午1:20:52,c21221203
172,2030,彰源,2018_06_27,2030_彰源_2018-06-27_上午1:21:15.txt,上午1:21:15,c21221203
173,8105,凌巨,2018_06_27,8105_凌巨_2018-06-27_上午1:21:23.txt,上午1:21:23,c21221203
174,8105,凌巨,2018_06_27,8105_凌巨_2018-06-27_上午1:21:37.txt,上午1:21:37,c21221203
175,5434,崇越,2018_06_27,5434_崇越_2018-06-27_上午1:21:49.txt,上午1:21:49,c21221203
176,6238,勝麗,2018_06_27,6238_勝麗_2018-06-27_上午1:22:07.txt,上午1:22:07,c21221203
177,3548,兆利,2018_06_27,3548_兆利_2018-06-27_上午1:22:44.txt,上午1:22:44,c21221203
178,2456,奇力新,2018_06_27,2456_奇力新_2018-06-27_上午1:23:04.txt,上午1:23:04,c21221203
179,2301,光寶科,2018_06_27,2301_光寶科_2018-06-27_上午1:23:47.txt,上午1:23:47,c21221203
180,6449,鈺邦,2018_06_27,6449_鈺邦_2018-06-27_上午1:23:59.txt,上午1:23:59,c21221203
181,2464,盟立,2018_06_28,2464_盟立_2018-06-28_3:00:15_PM.txt,3:00:15_PM,popowing
182,3443,創意,2018_06_28,3443_創意_2018-06-28_3:00:33_PM.txt,3:00:33_PM,popowing
183,4137,麗豐-KY,2018_07_11,4137_麗豐-KY_2018-07-11_上午12:36:17.txt,上午12:36:17,c21221203
184,1591,駿吉-KY,2018_07_11,1591_駿吉-KY_2018-07-11_上午12:36:33.txt,上午12:36:33,c21221203
185,1727,中華化,2018_07_11,1727_中華化_2018-07-11_上午12:36:54.txt,上午12:36:54,c21221203
186,5903,全家,2018_07_11,5903_全家_2018-07-11_上午12:37:05.txt,上午12:37:05,c21221203
187,5903,全家,2018_07_11,5903_全家_2018-07-11_上午12:37:22.txt,上午12:37:22,c21221203
188,1455,集盛,2018_07_11,1455_集盛_2018-07-11_上午12:38:19.txt,上午12:38:19,c21221203
189,1591,駿吉-KY,2018_07_11,1591_駿吉-KY_2018-07-11_上午12:38:29.txt,上午12:38:29,c21221203
190,1455,集盛,2018_07_11,1455_集盛_2018-07-11_上午12:38:42.txt,上午12:38:42,c21221203
191,8463,潤泰材,2018_07_11,8463_潤泰材_2018-07-11_上午12:38:58.txt,上午12:38:58,c21221203
192,6175,立敦,2018_07_11,6175_立敦_2018-07-11_上午12:39:10.txt,上午12:39:10,c21221203
193,8163,達方,2018_07_11,8163_達方_2018-07-11_上午12:39:30.txt,上午12:39:30,c21221203
