股票代號,股票名稱,日期,檔案路徑,輸入時間,Username
8942.0,森鉅,2018_06_15,/home/cosbi/桌面/financialData/lineMemo_data/8942_森鉅_2018-06-15_4:09:36 PM.txt,4:09:36 PM,popowing
2017.0,官田鋼,2018_06_16,/home/cosbi/桌面/financialData/lineMemo_data/2017_官田鋼_2018-06-16_11:09:59 AM.txt,11:09:59 AM,popowing
1229.0,聯華,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/1229_聯華_2018-06-18_下午12:00:40.txt,下午12:00:40,c21221203
5347.0,世界,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/5347_世界_2018-06-18_下午12:01:25.txt,下午12:01:25,c21221203
2342.0,茂矽,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/2342_茂矽_2018-06-18_下午12:01:52.txt,下午12:01:52,c21221203
1532.0,勤美,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/1532_勤美_2018-06-18_下午12:02:26.txt,下午12:02:26,c21221203
4991.0,環宇-KY,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/4991_環宇-KY_2018-06-18_下午12:02:44.txt,下午12:02:44,c21221203
2017.0,官田鋼,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/2017_官田鋼_2018-06-18_下午12:03:05.txt,下午12:03:05,c21221203
3019.0,亞光,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/3019_亞光_2018-06-18_下午12:06:00.txt,下午12:06:00,c21221203
3189.0,景碩,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/3189_景碩_2018-06-18_下午12:06:24.txt,下午12:06:24,c21221203
8499.0,鼎炫-KY,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/8499_鼎炫-KY_2018-06-18_下午12:06:38.txt,下午12:06:38,c21221203
1560.0,中砂,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/1560_中砂_2018-06-18_下午12:06:50.txt,下午12:06:50,c21221203
1560.0,中砂,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/1560_中砂_2018-06-18_下午12:07:05.txt,下午12:07:05,c21221203
4912.0,聯德控股-KY,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/4912_聯德控股-KY_2018-06-18_下午12:07:21.txt,下午12:07:21,c21221203
4912.0,聯德控股-KY,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/4912_聯德控股-KY_2018-06-18_下午12:07:34.txt,下午12:07:34,c21221203
3376.0,新日興,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/3376_新日興_2018-06-18_下午12:07:47.txt,下午12:07:47,c21221203
9934.0,成霖,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/9934_成霖_2018-06-18_下午12:39:36.txt,下午12:39:36,c21221203
1597.0,直得,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/1597_直得_2018-06-18_下午12:39:41.txt,下午12:39:41,c21221203
2233.0,宇隆,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/2233_宇隆_2018-06-18_下午12:40:19.txt,下午12:40:19,c21221203
4554.0,橙的,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/4554_橙的_2018-06-18_下午12:40:50.txt,下午12:40:50,c21221203
3042.0,晶技,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/3042_晶技_2018-06-18_下午12:41:11.txt,下午12:41:11,c21221203
6456.0,GIS-KY,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/6456_GIS-KY_2018-06-18_下午12:41:50.txt,下午12:41:50,c21221203
6456.0,GIS-KY,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/6456_GIS-KY_2018-06-18_下午12:42:10.txt,下午12:42:10,c21221203
6573.0,虹揚-KY,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/6573_虹揚-KY_2018-06-18_下午12:42:34.txt,下午12:42:34,c21221203
4566.0,時碩工業,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/4566_時碩工業_2018-06-18_下午12:42:49.txt,下午12:42:49,c21221203
1786.0,科妍,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/1786_科妍_2018-06-18_下午12:43:23.txt,下午12:43:23,c21221203
1507.0,永大,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/1507_永大_2018-06-18_下午12:43:34.txt,下午12:43:34,c21221203
3189.0,景碩,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/3189_景碩_2018-06-18_下午12:44:06.txt,下午12:44:06,c21221203
3189.0,景碩,2018_06_18,/home/cosbi/桌面/financialData/lineMemo_data/3189_景碩_2018-06-18_下午12:44:22.txt,下午12:44:22,c21221203
